station,sensor,"latitude (degree)","longitude (degree)",name,source,"platform type","start date","end date"
urn:ioos:station:nerrs:sfbsmwq,urn:ioos:sensor:nerrs:sfbsmwq:salinity,38.1841,-122.0136,"Second Mallard (sfbsmwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:45:00Z,2016-11-29T22:15:00Z
urn:ioos:station:nerrs:elkvmwq,urn:ioos:sensor:nerrs:elkvmwq:salinity,36.8111,-121.7792,"Vierra Mouth (elkvmwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:00:00Z,2016-11-25T02:15:00Z
urn:ioos:station:edu.sfsu:CMA,urn:ioos:sensor:edu.sfsu:CMA:salinity,38.0657,-122.2302,"Carquinez","San Francisco State University CMA",fixed,2008-02-21T22:06:51Z,2016-11-29T23:13:12Z
urn:ioos:station:cencoos:Tiburon,urn:ioos:sensor:cencoos:Tiburon:salinity,37.8915,-122.4467,"(TIBC1) Tiburon","Central & Northern California Ocean Observing System (CeNCOOS)",fixed,2002-10-14T12:07:27Z,2016-11-29T23:19:12Z
urn:ioos:station:edu.ucdavis.bml:FPT_WTS_latest,urn:ioos:sensor:edu.ucdavis.bml:FPT_WTS_latest:salinity,37.80663,-122.4662,"Fort Point","University of California Davis, Bodega Marine Laboratory",fixed,2009-03-01T00:03:00Z,2016-11-29T23:35:00Z
urn:ioos:station:nerrs:elkapwq,urn:ioos:sensor:nerrs:elkapwq:salinity,36.8457,-121.7538,"Azevedo Pond (elkapwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:00:00Z,2016-11-29T22:00:00Z
urn:ioos:station:org.mbari:M1,urn:ioos:sensor:org.mbari:M1:salinity,36.751133,-122.0292,"M1","Monterey Bay Aquarium Research Institute",buoy,2015-05-05T14:02:56Z,2016-11-29T22:09:10Z
urn:ioos:station:nerrs:elksmwq,urn:ioos:sensor:nerrs:elksmwq:salinity,36.8179,-121.7394,"South Marsh (elksmwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:45:00Z,2016-11-29T22:15:00Z
urn:ioos:station:gov.usgs.waterdata:374938122251801,urn:ioos:sensor:gov.usgs.waterdata:374938122251801:salinity,37.8272222,-122.4216667,"San Francisco Bay at NE Shore Alcatraz Island, CA (374938122251801)","USGS National Water Information System (NWIS)",fixed,2015-05-05T12:15:00Z,2016-11-29T22:00:00Z
urn:ioos:station:nerrs:sfbccwq,urn:ioos:sensor:nerrs:sfbccwq:salinity,38.0012,-122.4604,"China Camp (sfbccwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:30:00Z,2016-11-29T22:15:00Z
urn:ioos:station:edu.ucdavis.bml:Hog_Island_Oyster,urn:ioos:sensor:edu.ucdavis.bml:Hog_Island_Oyster:salinity,38.162,-122.8939,"Hog Island Oyster","University of California Davis, Bodega Marine Laboratory",fixed,2014-05-31T17:59:11Z,2016-11-29T23:03:40Z
urn:ioos:station:nerrs:sfbgcwq,urn:ioos:sensor:nerrs:sfbgcwq:salinity,38.0159,-122.5085,"Gallinas Creek (sfbgcwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:45:00Z,2016-11-29T22:30:00Z
urn:ioos:station:edu.ucdavis.bml:BML_WTS,urn:ioos:sensor:edu.ucdavis.bml:BML_WTS:salinity,38.31652,-123.0709,"Bodega Bay (BML_WTS)","University of California Davis, Bodega Marine Laboratory",fixed,2009-02-22T20:54:00Z,2016-11-29T23:36:00Z
urn:ioos:station:gov.usgs.waterdata:374811122235001,urn:ioos:sensor:gov.usgs.waterdata:374811122235001:salinity,37.80305,-122.3973083,"SAN FRANCISCO BAY A PIER 17 A SAN FRANCISCO CA","USGS National Water Information System (NWIS)",fixed,2015-05-05T11:30:00Z,2016-11-29T23:00:00Z
urn:ioos:station:nerrs:sfbfmwq,urn:ioos:sensor:nerrs:sfbfmwq:salinity,38.1949,-122.0328,"First Mallard (sfbfmwq)","NOAA National Estuarine Research Reserve System (NERRS)",fixed,2016-08-31T22:00:00Z,2016-11-29T22:30:00Z
urn:ioos:station:sccoos:UCSB,urn:ioos:sensor:sccoos:UCSB:salinity,34.408,-119.685,"Stearns Wharf","Southern California Coastal Ocean Observing System",fixed,2016-03-22T23:50:40Z,2016-11-29T23:34:51Z
urn:ioos:station:edu.calpoly.marine:Morro,urn:ioos:sensor:edu.calpoly.marine:Morro:salinity,35.37085,-120.8589,"Morro Bay - T Pier","California Polytechnic State University, Center for Coastal Marine Sciences",fixed,2009-06-02T16:51:00Z,2016-11-29T23:16:33Z
urn:ioos:station:mlml:mlml-sea,urn:ioos:sensor:mlml:mlml-sea:salinity,36.8025,-121.7915,"(MLSC1) Moss Landing Marine Laboratories Sea Water Station","Moss Landing Marine Laboratories (MLML)",fixed,2010-09-03T17:11:59Z,2016-11-29T23:28:06Z
